Quality,Qualityid,GroupName,hsn,rate,width,Uom,pid
SHIPRA,55,Jacquard,,1,,Mtr,55
..MEENA,56,Jacquard,,1,,Mtr,56
50X50 PC (8.500),57,,,1,,Mtr,57
62S CARDED WHITE,58,Yarn,,1,,Mtr,58
2/40S  COTTON WHTIE,59,Yarn,,1,,Mtr,59
40S COTTON DYED,60,Yarn,,1,,Mtr,60
120/2 VISCOS WHITE,61,Yarn,,1,,Mtr,61
42S LICRA WHITE,62,Yarn,,1,,Mtr,62
2/60S COT WHITE,63,Yarn,,1,,Mtr,63
20S  COT WHTIE,64,Yarn,,1,,Mtr,64
150/300 BRIGHT DYED MIX,65,Yarn,,1,,Mtr,65
SHALIMAR BLACK,66,Jacquard,,1,,Mtr,66
SALONI,67,Fancy,581092,115,2,Mtr,67
SALONI ANTIQUE,68,Jacquard,,1,,Mtr,68
MADHURA,69,Jacquard,5212,1,,Mtr,69
TOOLIKA,70,,,1,,Mtr,70
TOOLIKA ANTIQUE,71,Jacquard,,1,,Mtr,71
MONARCH,72,Jacquard,520833,1,4,Mtr,72
MONARCH CHIKU,73,Jacquard,,1,,Mtr,73
MRIGNAINI,74,Jacquard,,1,,Mtr,74
INDRANI,75,Jacquard,,1,,Mtr,75
LEENO,76,Chiffon,,1,,Mtr,76
MONARCH BLACK,77,Jacquard,,1,,Mtr,77
RUDRA,78,Jacquard,5212,90,,Mtr,78
ASTHA,79,,,1,,Mtr,79
BARBI CHECKS,80,Jacquard,,1,,Mtr,80
BORDER BUTTA,81,Fancy,,60,,Mtr,81
COTTON SATTIN,82,Chiffon,,1,,Mtr,82
CRUSH SATTIN,83,Fancy,5210,49,,Mtr,83
BRIGHT SATTIN,84,Fancy,5210,47,,Mtr,84
MEGHA,85,Jacquard,551611,1,4,Mtr,85
MRIGANK,86,,,1,,Mtr,86
PASHMEENA,87,,,1,,Mtr,87
RAGINI,88,,,1,,Mtr,88
SHALIMAR COMMON BLACK,89,Jacquard,,1,,Mtr,89
